winery,wine,year,is_non_vintage,rating,num_reviews,region,region_grouped,price,price_log,type,body,acidity
Clos Figueras,Clos Figueres,2017,FALSE,4.4,75,Priorato,Priorato,53.4,1.7275,Priorat Red,4,3
Bodegas Monte La Reina,Castillo de Monte la Reina Cuvee Privee,2015,FALSE,4.4,75,Toro,Toro,14.65,1.1658,Toro Red,5,3
Alonso del Yerro,Maria Ribera del Duero,2015,FALSE,4.4,75,Ribera del Duero,Ribera del Duero,54.9,1.7396,Ribera Del Duero Red,5,3
Sacristia AB,Amontillado Saca,,TRUE,4.4,74,Jerez-Xeres-Sherry,Jerez-Xeres-Sherry,62.02,1.7925,Sherry,4,3
Ontanon,Queiron Reserva Vinedos Familiares,2011,FALSE,4.4,74,Rioja,Rioja,26.85,1.4289,Rioja Red,4,3
Martinet,Cami Pesseroles,2011,FALSE,4.4,74,Priorato,Priorato,126.5,2.1021,Priorat Red,4,3
Toro Albala,Don PX Gran Reserva,1990,FALSE,4.4,73,Montilla-Moriles,Other,35.9,1.5551,Pedro Ximenez,5,1
Ferrer Bobet,Seleccio Especial Vinyes Velles,2017,FALSE,4.4,73,Priorato,Priorato,64.35,1.8085,Priorat Red,4,3
Dominio de Atauta,Llanos del Almendro Ribera del Duero,2011,FALSE,4.4,73,Ribera del Duero,Ribera del Duero,115.2,2.0615,Ribera Del Duero Red,5,3
Alta Alella,Dolc Mataro,2018,FALSE,4.4,72,Alella,Other,17.95,1.2541,NA,NA,NA
Muga,Prado Enea Gran Reserva,1989,FALSE,4.4,72,Rioja,Rioja,140.0,2.1461,Rioja Red,4,3
Muga,Prado Enea Gran Reserva,1991,FALSE,4.4,72,Rioja,Rioja,167.0,2.2227,Rioja Red,4,3
Teso La Monja,Victorino,2019,FALSE,4.4,71,Toro,Toro,33.9,1.5302,Toro Red,5,3
Bodegas Roda,Roda I Reserva Rioja,2017,FALSE,4.4,71,Rioja,Rioja,45.95,1.6623,Rioja Red,4,3
Bodega Elias Mora,Toro 2V Premium,2005,FALSE,4.4,70,Toro,Toro,44.0,1.6435,Toro Red,5,3
Tridente,Rejon Tempranillo,2018,FALSE,4.4,70,Castilla y Leon,Other,31.94,1.5043,Tempranillo,4,2
Joan Simo,Les Eres Vinyes Velles,2015,FALSE,4.4,70,Priorato,Priorato,32.49,1.5117,Priorat Red,4,3
Hacienda Lopez de Haro,Gran Reserva Classica Blanco,2012,FALSE,4.4,70,Rioja,Rioja,36.75,1.5653,Rioja White,3,3
Can Axartell,The Artist,2016,FALSE,4.4,69,Mallorca,Mallorca,26.84,1.4288,Red,4,3
Juan Pinero,Amontillado 30 Years Old V.O.R.S Sherry,,TRUE,4.4,69,Jerez Amontillado,Other,36.9,1.567,Sherry,4,3
Pazo Barrantes,La Comtesse de Pazo Barrantes Albarino,2017,FALSE,4.4,69,Rias Baixas,Rias Baixas,59.95,1.7778,Albarino,3,3
Sara Perez y Rene Barbier,Gratallops Partida Bellvisos,2007,FALSE,4.4,69,Priorato,Priorato,241.4,2.3827,Priorat Red,4,3
Abadia Retuerta,Seleccion Especial,2018,FALSE,4.4,68,Sardon de Duero,Other,27.6,1.4409,Red,4,3
Abel Mendoza Monge,5V Blanco,2019,FALSE,4.4,68,Rioja,Rioja,37.98,1.5796,Rioja White,3,3
Mas Llunes,Finca Butaros Vinya Centenaria,2015,FALSE,4.4,67,Emporda,Other,32.23,1.5083,Red,4,3
Familia Torres,Grans Muralles,2016,FALSE,4.4,67,Conca de Barbera,Other,123.76,2.0926,Red,4,3
Losada,La Bienquerida,2018,FALSE,4.4,66,Bierzo,Bierzo,34.55,1.5384,Mencia,3,3
Artadi,El Carretil,2016,FALSE,4.4,66,Vino de Espana,Vino de Espana,155.0,2.1903,Tempranillo,4,2
Marques de Vargas,Seleccion Privada,2011,FALSE,4.4,65,Rioja,Rioja,68.0,1.8325,Rioja Red,4,3
Protos,Seleccion Finca el Grajo Viejo,2017,FALSE,4.4,65,Ribera del Duero,Ribera del Duero,59.9,1.7774,Ribera Del Duero Red,5,3
Bodegas Frontaura,Aponte Winemaker's Private Collection Tempranillo,2008,FALSE,4.4,66,Toro,Toro,112.0,2.0492,Tempranillo,4,2
Roig Parals,Cami de Cormes,2018,FALSE,4.4,65,Emporda,Other,14.18,1.1517,Red,4,3
Oxer Wines,Kalamity Rioja,2017,FALSE,4.4,65,Rioja,Rioja,106.0,2.0253,Rioja Red,4,3
Perinet,1194,2016,FALSE,4.4,64,Priorato,Priorato,105.8121097,2.0245,Red,4,3
Cepa 21,Malabrigo Ribera del Duero,2018,FALSE,4.4,65,Ribera del Duero,Ribera del Duero,31.5,1.4983,Ribera Del Duero Red,5,3
Romate,Old & Plus Pedro Ximenez,,TRUE,4.4,64,Jerez Pedro Ximenes (PX),Other,42.12,1.6245,Sherry,4,3
Avgvstvs,Reserva Trajanvs,2016,FALSE,4.4,64,Penedes,Other,21.5,1.3324,Red,4,3
Alvaro Palacios,Finca Dofi,1999,FALSE,4.4,64,Priorato,Priorato,75.0,1.8751,Priorat Red,4,3
Jorge Ordonez,No. 2 Victoria,2018,FALSE,4.4,64,Malaga,Other,15.9,1.2014,NA,NA,NA
Remelluri,Granja Gran Reserva Rioja,2013,FALSE,4.4,63,Rioja,Rioja,53.9,1.7316,Rioja Red,4,3
Castillo Perelada,Emporda Gran Claustro,2015,FALSE,4.4,63,Emporda,Other,30.86,1.4894,Red,4,3
Anima Negra,Son Negre,2010,FALSE,4.4,63,Mallorca,Mallorca,235.95,2.3728,Red,4,3
Vinicola Real,200 Monges Rioja Reserva,2012,FALSE,4.4,62,Rioja,Rioja,38.5,1.5855,Rioja Red,4,3
Ramon Bilbao,Lalomba Finca Valhonta,2017,FALSE,4.4,61,Rioja,Rioja,56.75,1.754,Rioja Red,4,3
Clos Mogador,Manyetes,2017,FALSE,4.4,61,Priorato,Priorato,59.9,1.7774,Priorat Red,4,3
Vina Pedrosa,Gran Reserva,2014,FALSE,4.4,60,Ribera del Duero,Ribera del Duero,122.667917,2.0887,Ribera Del Duero Red,5,3
Recaredo,Serral del Vell Brut Nature,2016,FALSE,4.4,60,Cava,Other,34.56,1.5386,Cava,2,3
Abadia Retuerta,Pago Valdebellon,2016,FALSE,4.4,60,Sardon de Duero,Other,65.9,1.8189,Cabernet Sauvignon,4,3
Gramona,Cava Celler Batlle,2011,FALSE,4.4,59,Cava,Other,59.75,1.7763,Cava,2,3
Vina Sastre,Pesus Ribera del Duero,2003,FALSE,4.4,59,Ribera del Duero,Ribera del Duero,509.25,2.7069,Ribera Del Duero Red,5,3
Terroir Al Limit Soc. Lda,Les Tosses,2013,FALSE,4.4,59,Priorato,Priorato,158.88,2.2011,Priorat Red,4,3
Leda,Guarda de Leda Seleccion Tempranillo,2015,FALSE,4.4,59,Castilla y Leon,Other,37.66,1.5759,Tempranillo,4,2
Enric Soler,Nun Vinya dels Taus,2018,FALSE,4.4,59,Penedes,Other,62.7,1.7973,NA,NA,NA
Bodegas Celler Francisco Castillo - Clos Dominic,Vinyes Altes Porrera,2016,FALSE,4.4,58,Priorato,Priorato,60.73,1.7834,Priorat Red,4,3
Es Fangar,Lo Cortinelo.Lo Blanc,2017,FALSE,4.4,58,Pla i Llevant,Other,27.25,1.4354,NA,NA,NA
Cal Batllet - Celler Ripoll Sans,5 Partides Gratallops Vi de La Vila,2014,FALSE,4.4,58,Priorato,Priorato,49.6,1.6955,Priorat Red,4,3
Llopart,Cava Ex-Vite Gran Reserva Brut,2010,FALSE,4.4,57,Cava,Other,43.5,1.6385,Cava,2,3
Vega Sicilia,Valbuena 5o,1982,FALSE,4.4,56,Ribera del Duero,Ribera del Duero,225.0,2.3522,Ribera Del Duero Red,5,3
Portia,Summa Edicion Limitada,2015,FALSE,4.4,56,Ribera del Duero,Ribera del Duero,89.97,1.9541,Ribera Del Duero Red,5,3
Bodegas Mas Alta,Cirerets,2019,FALSE,4.4,56,Priorato,Priorato,37.9,1.5786,Priorat Red,4,3
Los Aguilares,Pago El Espino,2019,FALSE,4.4,56,Sierras de Malaga,Other,18.9,1.2765,Red,4,3
La Vicalanda,Gran Reserva,2015,FALSE,4.4,55,Rioja,Rioja,53.8,1.7308,Rioja Red,4,3
Vina Pedrosa,Perez Pascuas Gran Reserva Seleccion,2015,FALSE,4.4,55,Ribera del Duero,Ribera del Duero,55.25,1.7423,Ribera Del Duero Red,5,3
Ostatu,Gloria Rioja,2011,FALSE,4.4,55,Rioja Alavesa,Other,44.9,1.6522,Rioja Red,4,3
Finca Valpiedra,Petra de Valpiedra Garnacha,2017,FALSE,4.4,55,Rioja,Rioja,32.9,1.5172,Grenache,5,3
Vina Pomal,Alto de la Caseta,2015,FALSE,4.4,54,Rioja,Rioja,82.5,1.9165,Rioja Red,4,3
Recaredo,Serral del Vell Brut Nature,2015,FALSE,4.4,54,Cava,Other,33.78,1.5287,Cava,2,3
Tridente,Rejon Tempranillo,2017,FALSE,4.4,54,Castilla y Leon,Other,34.9,1.5428,Tempranillo,4,2
Vall Llach,Mas de la Rosa,2016,FALSE,4.4,53,Priorato,Priorato,367.39,2.5651,Priorat Red,4,3
Baigorri,Rioja B70,2014,FALSE,4.4,52,Rioja,Rioja,104.5,2.0191,Rioja Red,4,3
Matarromera,Gran Reserva,2014,FALSE,4.4,52,Ribera del Duero,Ribera del Duero,74.55,1.8724,Ribera Del Duero Red,5,3
Vivaltus,Tinto,2016,FALSE,4.4,52,Ribera del Duero,Ribera del Duero,119.0,2.0755,Ribera Del Duero Red,5,3
Comenge,Don Miguel,2016,FALSE,4.4,51,Ribera del Duero,Ribera del Duero,31.9239296995019,1.5041,Ribera Del Duero Red,5,3
Collbaix Celler El Moli,Singular Negre,2015,FALSE,4.4,51,Pla de Bages,Other,27.35,1.437,Cabernet Sauvignon,4,3
Bodegas Celler Francisco Castillo - Clos Dominic,Vinyes Altes Porrera,2017,FALSE,4.4,51,Priorato,Priorato,33.0,1.5185,Priorat Red,4,3
Martinez Lacuesta,Rioja Reserva Especial,1922,FALSE,4.4,51,Rioja Alta,Other,280.0,2.4472,Rioja Red,4,3
Pujanza,Rioja Cisma,2014,FALSE,4.4,50,Rioja,Rioja,140.0,2.1461,Rioja Red,4,3
Jesus Madrazo,Seleccion Rioja,2018,FALSE,4.4,50,Rioja,Rioja,32.0,1.5051,Rioja Red,4,3
Allende,Martires Rioja,2015,FALSE,4.4,50,Rioja,Rioja,91.5,1.9614,Rioja White,3,3
Llopart,Cava Original Brut (Espumos),2010,FALSE,4.4,49,Cava,Other,52.95,1.7239,Cava,2,3
Albet i Noya,Marti Reserva Penedes,2015,FALSE,4.4,49,Penedes,Other,35.15,1.5459,Red,4,3
La Rioja Alta,Vina Ardanza Reserva Seleccion Especial,2015,FALSE,4.4,49,Rioja,Rioja,23.0,1.3617,Rioja Red,4,3
Juan Pinero,Oloroso 30 Years Old V.O.R.S,,TRUE,4.4,48,Jerez Oloroso,Other,37.9,1.5786,Sherry,4,3
Olivier Riviere,Pozo Alto,2016,FALSE,4.4,48,Rioja,Rioja,119.95,2.079,Rioja Red,4,3
Bodegas Amaren,El Cristo de Samaniego,2017,FALSE,4.4,47,Rioja Alavesa,Other,42.9,1.6325,Rioja Red,4,3
Bodegas Tierra,El Belisario,2016,FALSE,4.4,47,Rioja,Rioja,39.9,1.601,Tempranillo,4,2
Torre de Ona,Baron de Ona Rioja Reserva,1995,FALSE,4.4,46,Rioja,Rioja,50.0,1.699,Rioja Red,4,3
Clos Erasmus,Priorat,2017,FALSE,4.4,45,Priorato,Priorato,209.31,2.3208,Priorat Red,4,3
Toro Albala,Don PX Seleccion,1968,FALSE,4.4,45,Montilla-Moriles,Other,165.0,2.2175,Pedro Ximenez,5,1
Monte Real,Gran Reserva,1978,FALSE,4.4,45,Rioja,Rioja,97.0,1.9868,Rioja Red,4,3
Do Ferreiro (Bodegas Gerardo Mendez),Cepas Vellas Rias Baixas Albarino,2020,FALSE,4.4,44,Rias Baixas,Rias Baixas,26.5,1.4232,Albarino,3,3
Legaris,La Aguilera,2016,FALSE,4.4,44,Ribera del Duero,Ribera del Duero,32.5,1.5119,Ribera Del Duero Red,5,3
Bodega Contador (Benjamin Romeo),Pirata,2014,FALSE,4.4,44,Rioja,Rioja,194.0,2.2878,Rioja White,3,3
Vinas del Vero,Blecua Somontano,2014,FALSE,4.4,43,Somontano,Other,74.95,1.8748,Red,4,3
Territorio Luthier,Hispania,2018,FALSE,4.4,43,Ribera del Duero,Ribera del Duero,28.9,1.4609,Ribera Del Duero Red,5,3
Martin Codax,Arousa,2019,FALSE,4.4,44,Vino de Espana,Vino de Espana,18.99,1.2785,Albarino,3,3
Vinedos Hermanos Hernaiz,Las Cenizas Tempranillo,2018,FALSE,4.4,43,Rioja Alta,Other,19.95,1.2999,Rioja Red,4,3
Cims de Porrera,Solanes Priorat,2003,FALSE,4.4,43,Priorato,Priorato,38.66,1.5873,Priorat Red,4,3
Artadi,Grandes Anadas Rioja,1994,FALSE,4.4,43,Rioja,Rioja,180.0,2.2553,Rioja Red,4,3
Martinet,Cami Pesseroles,2017,FALSE,4.4,42,Priorato,Priorato,75.5,1.8779,Priorat Red,4,3
Freixenet,Cava Cuvee De Prestige Trepat,2019,FALSE,4.4,43,Cava,Other,7.89,0.8971,Cava,2,3
Azpilicueta,Felix Azpilicueta Coleccion Privada,2019,FALSE,4.4,41,Rioja,Rioja,18.0,1.2553,Rioja Red,4,3
Gramona,Savinat Sauvignon Blanc,2019,FALSE,4.4,41,Penedes,Other,17.9,1.2529,Sauvignon Blanc,3,3
Veronica Salgado,Capricho Crianza,2017,FALSE,4.4,41,Ribera del Duero,Ribera del Duero,15.4438025,1.1888,Ribera Del Duero Red,5,3
Vinedos Hermanos Hernaiz,Finca La Emperatriz Vinedo Singular Tinto,2017,FALSE,4.4,41,Rioja Alta,Other,33.55,1.5257,Rioja Red,4,3
Clos Galena,Galena,2017,FALSE,4.4,41,Priorato,Priorato,19.8,1.2967,Priorat Red,4,3
Imperial,Rioja Reserva,1982,FALSE,4.4,41,Rioja,Rioja,145.0,2.1614,Rioja Red,4,3
Osborne,Solera PAP Palo Cortado Rare Sherry,,TRUE,4.4,41,Jerez-Xeres-Sherry,Jerez-Xeres-Sherry,189.99,2.2787,Sherry,4,3
Bodegas Imperiales - Abadia de San Quirce,Finca Helena,2015,FALSE,4.4,40,Ribera del Duero,Ribera del Duero,59.9,1.7774,Ribera Del Duero Red,5,3
Marta Mate,Primordium,2012,FALSE,4.4,40,Ribera del Duero,Ribera del Duero,29.9,1.4757,Ribera Del Duero Red,5,3
Albet i Noya,Marti Reserva Penedes,2016,FALSE,4.4,39,Penedes,Other,33.8,1.5289,Red,4,3
Bodegas Mas Alta,La Solana Alta,2018,FALSE,4.4,39,Priorato,Priorato,43.5,1.6385,NA,NA,NA
Venta Las Vacas,La Cuartilleja Reserva,2016,FALSE,4.4,39,Ribera del Duero,Ribera del Duero,39.9,1.601,Ribera Del Duero Red,5,3
Emilio Moro,Malleolus de Sanchomartin,2018,FALSE,4.4,39,Ribera del Duero,Ribera del Duero,119.35,2.0768,Ribera Del Duero Red,5,3
Figuero,Noble,2015,FALSE,4.4,38,Ribera del Duero,Ribera del Duero,60.0,1.7782,Ribera Del Duero Red,5,3
Baigorri,De Garage Rioja,2005,FALSE,4.4,37,Rioja,Rioja,40.0,1.6021,Rioja Red,4,3
Pago Calzadilla,Gran Calzadilla,2010,FALSE,4.4,37,Pago Calzadilla,Other,34.75,1.541,Red,4,3
Vivanco,4 Varietales Coleccion Rioja,2017,FALSE,4.4,37,Rioja,Rioja,24.0,1.3802,Rioja Red,4,3
Fernandez Gao,Oloroso,,TRUE,4.4,38,Jerez-Xeres-Sherry,Jerez-Xeres-Sherry,59.9,1.7774,Sherry,4,3
Allende,Aurus,1998,FALSE,4.4,37,Rioja,Rioja,245.25,2.3896,Rioja Red,4,3
Toro Albala,Don PX Pedro Ximenez,1973,FALSE,4.4,37,Montilla-Moriles,Other,109.76,2.0404,Pedro Ximenez,5,1
Museum,Numerus Clausus,2012,FALSE,4.4,37,Cigales,Other,59.9,1.7774,Tempranillo,4,2
Pujanza,Rioja Cisma,2012,FALSE,4.4,37,Rioja,Rioja,130.5,2.1156,Rioja Red,4,3
Vinicola Real,200 Monges Rioja Seleccion Especial Reserva Blanco,2008,FALSE,4.4,36,Rioja,Rioja,61.5,1.7889,Rioja White,3,3
Toro Albala,Don PX Gran Reserva,1994,FALSE,4.4,36,Montilla-Moriles,Other,33.23,1.5215,Pedro Ximenez,5,1
Castillo Perelada,Emporda Aires de Garbet,2018,FALSE,4.4,36,Emporda,Other,38.5,1.5855,Red,4,3
Marques de Riscal,Rioja Gran Reserva,1996,FALSE,4.4,36,Rioja,Rioja,38.12,1.5812,Rioja Red,4,3
Harveys,30 Years V.O.R.S Very Old Palo Cortado Blend Medium Sherry,,TRUE,4.4,35,Jerez Palo Cortado,Other,65.0,1.8129,Sherry,4,3
Farina,Campus Gothorum,2017,FALSE,4.4,35,Toro,Toro,41.0,1.6128,Toro Red,5,3
Tinto Pesquera,Gran Reserva,2015,FALSE,4.4,35,Ribera del Duero,Ribera del Duero,74.5,1.8722,Ribera Del Duero Red,5,3
Enric Soler,Nun Vinya dels Taus,2019,FALSE,4.4,35,Penedes,Other,45.39,1.657,NA,NA,NA
Galindo San Millan,La Pizca,2016,FALSE,4.4,35,Toro,Toro,26.0,1.415,Red,4,3
Equipo Navazos,La Bota 90 de Manzanilla Pasada,,TRUE,4.4,35,Manzanilla,Other,39.75,1.5993,Sherry,4,3
Legaris,Moradillo de Roa,2017,FALSE,4.4,35,Ribera del Duero,Ribera del Duero,29.89,1.4755,Ribera Del Duero Red,5,3
Bodegas Casa Primicia,Cofradia,2014,FALSE,4.4,34,Rioja,Rioja,38.0,1.5798,Rioja Red,4,3
Pujanza,Rioja Cisma,2009,FALSE,4.4,34,Rioja,Rioja,132.4,2.1219,Rioja Red,4,3
Bodegas Celler Francisco Castillo - Clos Dominic,Vinyes Altes Porrera,2009,FALSE,4.4,34,Priorato,Priorato,69.0,1.8388,Priorat Red,4,3
Castell Miquel,Stairway To Heaven Rosado,2020,FALSE,4.4,34,Mallorca,Mallorca,13.99,1.1458,NA,NA,NA
Barco del Corneta,La Silleria,2017,FALSE,4.4,34,Castilla y Leon,Other,24.5,1.3892,NA,NA,NA
Joan d'Anguera,Planella,2020,FALSE,4.4,34,Montsant,Other,16.25,1.2109,Montsant Red,4,3
Martin Codax,Gallaecia Rias Baixes Albarino,2017,FALSE,4.4,34,Rias Baixas,Rias Baixas,39.95,1.6015,Albarino,3,3
Tinto Pesquera,Gran Reserva,1994,FALSE,4.4,34,Ribera del Duero,Ribera del Duero,138.0,2.1399,Ribera Del Duero Red,5,3
Xaloc,Monada,2013,FALSE,4.4,33,Mallorca,Mallorca,35.4,1.549,Red,4,3
Bodegas 6o Elemento - Vino Sexto Elemento,Tinto,2019,FALSE,4.4,33,Valencia,Other,20.95,1.3212,Red,4,3
Scala Dei,Heretge Priorat,2018,FALSE,4.4,33,Priorato,Priorato,39.99,1.602,Priorat Red,4,3
Terra Remota,Usted,2009,FALSE,4.4,33,Emporda,Other,159.8,2.2036,Red,4,3
Allende,Martires Rioja,2017,FALSE,4.4,33,Rioja,Rioja,139.63,2.145,Rioja White,3,3
Bodegas Frontaura,Verdejo,2017,FALSE,4.4,32,Toro,Toro,19.97,1.3004,Verdejo,3,3
Carlos Moro,Vina Garugele,2015,FALSE,4.4,32,Rioja,Rioja,75.8,1.8797,Rioja Red,4,3
Bodegas Luis Perez,Petit Verdot,2013,FALSE,4.4,32,Andalucia,Other,52.5,1.7202,Red,4,3
Ladairo,Barrica,2018,FALSE,4.4,32,Monterrei,Other,20.95,1.3212,Red,4,3
Conreria d'Scala Dei,Voltons,2017,FALSE,4.4,32,Priorato,Priorato,51.95,1.7156,Priorat Red,4,3
Castell d'Encus,Ekam Essencia,2015,FALSE,4.4,32,Costers del Segre,Costers del Segre,43.44,1.6379,NA,NA,NA
Traslascuestas,Valcavado de Traslascuestas,2014,FALSE,4.4,31,Ribera del Duero,Ribera del Duero,35.48,1.55,Ribera Del Duero Red,5,3
Tobia,Oscar Tobia Gran Reserva Rioja,2014,FALSE,4.4,31,Rioja,Rioja,28.0,1.4472,Rioja Red,4,3
Alvaro Palacios,La Baixada,2018,FALSE,4.4,31,Priorato,Priorato,239.5,2.3793,Priorat Red,4,3
Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2019,FALSE,4.4,31,Rioja,Rioja,60.61,1.7825,Rioja Red,4,3
Lopez Cristobal,Seleccion,2012,FALSE,4.4,31,Ribera del Duero,Ribera del Duero,35.35,1.5484,Ribera Del Duero Red,5,3
Codorniu,Cava El Tros Nou Pinot Noir,2009,FALSE,4.4,30,Cava,Other,89.9,1.9538,Cava,2,3
Clos Mogador,Manyetes,2018,FALSE,4.4,30,Priorato,Priorato,74.56,1.8725,Priorat Red,4,3
Sota els Angels,Tinto,2007,FALSE,4.4,30,Emporda,Other,33.4,1.5237,Red,4,3
Berceo,Los Dominios de Berceo Prefiloxerico,2015,FALSE,4.4,29,Rioja,Rioja,29.25,1.4661,Rioja Red,4,3
Romate,Old & Plus Amontillado,,TRUE,4.4,28,Jerez Amontillado,Other,15.84,1.1998,Sherry,4,3
Toro Albala,Don PX Convento Seleccion,1968,FALSE,4.4,28,Montilla-Moriles,Other,173.0,2.238,Pedro Ximenez,5,1
Mas Blanch I Jove,Sao Expressiu,2012,FALSE,4.4,28,Costers del Segre,Costers del Segre,34.5,1.5378,Red,4,3
Carlos Serres,Onomastica Rioja Reserva,2014,FALSE,4.4,28,Rioja,Rioja,21.88,1.34,Rioja Red,4,3
La Rioja Alta,Vina Arana Gran Reserva,2015,FALSE,4.4,28,Rioja,Rioja,27.9,1.4456,Rioja Red,4,3
Anayon,Carinena Parcela 15 Vinas Viejas,2017,FALSE,4.4,28,Carinena,Other,54.9,1.7396,Red,4,3
David Moreno,Vobiscum,2015,FALSE,4.4,28,Rioja,Rioja,31.99,1.505,Rioja Red,4,3
Vina Pedrosa,La Navilla,2017,FALSE,4.4,27,Ribera del Duero,Ribera del Duero,24.9,1.3962,Ribera Del Duero Red,5,3
Edra,Merlot - Syrah,2016,FALSE,4.4,27,Ribera del Gallego-Cinco Villas,Other,11.5,1.0607,Red,4,3
Bodega Numanthia,Termanthia,2000,FALSE,4.4,27,Toro,Toro,140.0,2.1461,Toro Red,5,3
Gutierrez de la Vega,Casta Diva Cosecha Miel Moscatel Dulce,2018,FALSE,4.4,27,Alicante,Alicante,15.5,1.1903,NA,NA,NA
Marques de Riscal,Baron de Chirel Rioja Reserva,2017,FALSE,4.4,27,Rioja,Rioja,95.0,1.9777,Rioja Red,4,3
Valdelosfrailes,Pago de Las Costanas,2005,FALSE,4.4,27,Castilla y Leon,Other,40.2,1.6042,Tempranillo,4,2
Remirez de Ganuza,Rioja Blanco,2019,FALSE,4.4,27,Rioja,Rioja,26.45,1.4224,Rioja White,3,3
Briego,Vendimia Seleccionada,2020,FALSE,4.4,27,Ribera del Duero,Ribera del Duero,7.9,0.8976,Ribera Del Duero Red,5,3
Guillem Carol - Cellers Carol Valles,Cava Gran Reserva Familiar Millenium Brut,2011,FALSE,4.4,27,Cava,Other,29.95,1.4764,Cava,2,3
Barahonda,Zona Zepa Monastrell,2015,FALSE,4.4,26,Yecla,Other,59.9,1.7774,Monastrell,5,3
Abadia Retuerta,Petit Verdot,2016,FALSE,4.4,26,Sardon de Duero,Other,115.9,2.0641,Red,4,3
Tobia,Alma Tobia Blanco,2016,FALSE,4.4,26,Rioja,Rioja,33.0,1.5185,Rioja White,3,3
Vina Pomal,Reserva,1970,FALSE,4.4,25,Rioja,Rioja,72.0,1.8573,Rioja Red,4,3
Particular,Garnacha Vinas Centenarias,2015,FALSE,4.4,25,Carinena,Other,13.95,1.1446,Grenache,5,3
Bodegas Frontonio,El Jardin de las Iguales Vinedo Historico Garnacha,2016,FALSE,4.4,25,Aragon,Other,195.99,2.2922,Grenache,5,3
Bodegas Asenjo & Manso,Silvanus Edicion Limitada Ribera del Duero,2015,FALSE,4.4,25,Ribera del Duero,Ribera del Duero,46.0,1.6628,Ribera Del Duero Red,5,3
La Rioja Alta,Vina Ardanza Reserva,2009,FALSE,4.3,10273,Rioja,Rioja,24.38,1.387,Rioja Red,4,3
La Rioja Alta,Vina Ardanza Reserva,2012,FALSE,4.3,9092,Rioja,Rioja,20.0,1.301,Rioja Red,4,3
Familia Torres,San Valentin Parellada,2019,FALSE,4.3,7401,Cataluna,Other,6.95,0.842,NA,NA,NA
Abadia Retuerta,Seleccion Especial,2016,FALSE,4.3,7293,Sardon de Duero,Other,17.48,1.2425,Red,4,3
R. Lopez de Heredia,Vina Tondonia Reserva,2008,FALSE,4.3,6521,Rioja,Rioja,37.9,1.5786,Rioja Red,4,3
Pintia,Toro,2010,FALSE,4.3,6345,Toro,Toro,79.75,1.9017,Toro Red,5,3
Abadia Retuerta,Seleccion Especial,2015,FALSE,4.3,5152,Sardon de Duero,Other,24.95,1.3971,Red,4,3
La Rioja Alta,Rioja Gran Reserva 904,2004,FALSE,4.3,4994,Rioja,Rioja,29.9,1.4757,Rioja Red,4,3
Dominio de Pingus,PSI,2018,FALSE,4.3,4767,Ribera del Duero,Ribera del Duero,29.13,1.4643,Ribera Del Duero Red,5,3
Dominio de Pingus,PSI,2017,FALSE,4.3,4457,Ribera del Duero,Ribera del Duero,33.9,1.5302,Ribera Del Duero Red,5,3
Muga,Seleccion Especial (Reserva),2015,FALSE,4.3,4266,Rioja,Rioja,28.0,1.4472,Rioja Red,4,3
Pago de Carraovejas,Tinto,2012,FALSE,4.3,4023,Ribera del Duero,Ribera del Duero,25.8,1.4116,Ribera Del Duero Red,NA,NA
Emilio Moro,Malleolus,2016,FALSE,4.3,3997,Ribera del Duero,Ribera del Duero,37.86,1.5782,Ribera Del Duero Red,NA,NA
Muga,Seleccion Especial (Reserva),2014,FALSE,4.3,3829,Rioja,Rioja,34.0,1.5315,Rioja Red,NA,NA
Matarromera,Ribera del Duero Reserva,2014,FALSE,4.3,3660,Ribera del Duero,Ribera del Duero,33.64,1.5269,Ribera Del Duero Red,NA,NA
Matarromera,Ribera del Duero Reserva,2015,FALSE,4.3,3620,Ribera del Duero,Ribera del Duero,36.35,1.5605,Ribera Del Duero Red,NA,NA
Muga,Prado Enea Gran Reserva,2006,FALSE,4.3,3608,Rioja,Rioja,35.5,1.5502,Rioja Red,NA,NA
Bodegas Mauro,Red,2017,FALSE,4.3,3587,Castilla y Leon,Other,66.75,1.8245,Red,NA,NA
Arzuaga,Ribera del Duero Crianza,2018,FALSE,4.3,3524,Ribera del Duero,Ribera del Duero,19.01,1.279,Ribera Del Duero Red,NA,NA
Hacienda Monasterio,Cosecha,2014,FALSE,4.3,2990,Ribera del Duero,Ribera del Duero,75.9,1.8802,Ribera Del Duero Red,NA,NA
Emilio Moro,Malleolus,2017,FALSE,4.3,2936,Ribera del Duero,Ribera del Duero,38.05,1.5804,Ribera Del Duero Red,NA,NA
Muga,Prado Enea Gran Reserva,2009,FALSE,4.3,2923,Rioja,Rioja,40.4,1.6064,Rioja Red,NA,NA
Familia Torres,Mas La Plana Cabernet Sauvignon,2013,FALSE,4.3,2911,Penedes,Other,63.33,1.8016,Cabernet Sauvignon,NA,NA
Aalto,Tinto,2012,FALSE,4.3,2844,Ribera del Duero,Ribera del Duero,26.9,1.4298,Ribera Del Duero Red,NA,NA
Hacienda Monasterio,Cosecha,2015,FALSE,4.3,2783,Ribera del Duero,Ribera del Duero,34.95,1.5434,Ribera Del Duero Red,NA,NA
